,patient_id,disease_class,disease_name,Age,Gender,ALT,AST,ALP,Bilirubin_Total,Bilirubin_Direct
count,10692,10692.0,10692,10692.0,10692,10692.0,10692.0,10692.0,10692.0,10692.0
unique,10692,,23,,2,,,,,
top,P10691,,Hepatitis C,,Male,,,,,
freq,1,,519,,5385,,,,,
mean,,11.123924429479985,,49.47147399925178,,234.60187961140036,249.5675053911331,239.31847675018153,2.926976775502307,1.3332832143010502
std,,6.656593894184347,,17.328645284389015,,297.62672028843224,406.0719197296782,151.5605006936817,2.873274863770419,1.7780356653201297
min,,0.0,,20.0,,10.045480845102304,10.180229810148319,40.057749392372955,0.10000609034331198,0.0002410702392257047
25%,,5.0,,34.0,,61.20282577700039,60.72489740153352,121.76306766746468,1.1260129284208924,0.32861523398523157
50%,,11.0,,49.0,,130.3454368853844,129.07456146083223,187.2305544246887,2.0294140225982584,0.7211378383869533
75%,,17.0,,64.0,,294.7328122511333,269.57335520859107,330.46503398485675,3.708949746538334,1.6391875436074246
max,,22.0,,79.0,,1998.4006056568087,2999.9372823510166,798.7895802244842,19.9676469182537,11.949320787301145
