,precision,recall,f1-score,support
Gallstones,0.5494505494505495,0.746268656716418,0.6329113924050633,67.0
Abdomen and Retroperitoneum,0.22950819672131148,0.19444444444444445,0.21052631578947367,72.0
Cholecystitis,0.3088235294117647,0.3,0.30434782608695654,70.0
Membranous and Gangrenous Cholecystitis,0.5866666666666667,0.6470588235294118,0.6153846153846154,68.0
Perforation,0.6363636363636364,0.4307692307692308,0.5137614678899083,65.0
Polyps and Cholesterol Crystals,0.32857142857142857,0.359375,0.34328358208955223,64.0
Adenomyomatosis,0.37349397590361444,0.47692307692307695,0.4189189189189189,65.0
Carcinoma,0.5161290322580645,0.47058823529411764,0.49230769230769234,68.0
Various Causes of Gallbladder Wall Thickening,0.35294117647058826,0.3287671232876712,0.3404255319148936,73.0
Hepatitis A,0.3787878787878788,0.3424657534246575,0.3597122302158273,73.0
Hepatitis B,0.5,0.49230769230769234,0.49612403100775193,65.0
Hepatitis C,0.5308641975308642,0.5512820512820513,0.5408805031446541,78.0
Alcoholic Liver Disease,0.42857142857142855,0.4931506849315068,0.4585987261146497,73.0
Non-Alcoholic Fatty Liver Disease (NAFLD),0.4461538461538462,0.42028985507246375,0.43283582089552236,69.0
Cirrhosis,0.5492957746478874,0.6,0.5735294117647058,65.0
Liver Cancer,0.5492957746478874,0.6,0.5735294117647058,65.0
Autoimmune Hepatitis,0.29508196721311475,0.25,0.2706766917293233,72.0
Primary Biliary Cholangitis,0.7105263157894737,0.75,0.7297297297297297,72.0
Primary Sclerosing Cholangitis,0.5079365079365079,0.4507042253521127,0.47761194029850745,71.0
Hemochromatosis,0.352112676056338,0.373134328358209,0.36231884057971014,67.0
Wilson Disease,0.25,0.21333333333333335,0.2302158273381295,75.0
Acute Liver Failure,1.0,0.9864864864864865,0.9931972789115646,74.0
Drug-Induced Liver Injury,0.5138888888888888,0.5068493150684932,0.5103448275862069,73.0
accuracy,0.4769326683291771,0.4769326683291771,0.4769326683291771,0.4769326683291771
macro avg,0.47367232382790175,0.47757383985136415,0.4730944614725245,1604.0
weighted avg,0.47365335612776915,0.4769326683291771,0.47285959337658795,1604.0
