,precision,recall,f1-score,support
Gallstones,0.8048780487804879,0.9850746268656716,0.8859060402684564,67.0
Abdomen and Retroperitoneum,0.6341463414634146,0.7222222222222222,0.6753246753246753,72.0
Cholecystitis,0.4909090909090909,0.38571428571428573,0.432,70.0
Membranous and Gangrenous Cholecystitis,0.6329113924050633,0.7352941176470589,0.6802721088435374,68.0
Perforation,0.7352941176470589,0.7692307692307693,0.7518796992481203,65.0
Polyps and Cholesterol Crystals,0.6666666666666666,0.71875,0.6917293233082706,64.0
Adenomyomatosis,0.6290322580645161,0.6,0.6141732283464567,65.0
Carcinoma,0.6984126984126984,0.6470588235294118,0.6717557251908397,68.0
Various Causes of Gallbladder Wall Thickening,0.6025641025641025,0.6438356164383562,0.6225165562913907,73.0
Hepatitis A,0.43023255813953487,0.5068493150684932,0.46540880503144655,73.0
Hepatitis B,0.7285714285714285,0.7846153846153846,0.7555555555555555,65.0
Hepatitis C,0.7252747252747253,0.8461538461538461,0.7810650887573964,78.0
Alcoholic Liver Disease,0.5180722891566265,0.589041095890411,0.5512820512820513,73.0
Non-Alcoholic Fatty Liver Disease (NAFLD),0.6666666666666666,0.6376811594202898,0.6518518518518519,69.0
Cirrhosis,0.7192982456140351,0.6307692307692307,0.6721311475409836,65.0
Liver Cancer,0.9183673469387755,0.6923076923076923,0.7894736842105263,65.0
Autoimmune Hepatitis,0.40298507462686567,0.375,0.38848920863309355,72.0
Primary Biliary Cholangitis,0.7866666666666666,0.8194444444444444,0.8027210884353742,72.0
Primary Sclerosing Cholangitis,0.7,0.5915492957746479,0.6412213740458015,71.0
Hemochromatosis,0.43209876543209874,0.5223880597014925,0.47297297297297297,67.0
Wilson Disease,0.4444444444444444,0.26666666666666666,0.3333333333333333,75.0
Acute Liver Failure,1.0,0.9864864864864865,0.9931972789115646,74.0
Drug-Induced Liver Injury,0.6190476190476191,0.5342465753424658,0.5735294117647058,73.0
accuracy,0.6502493765586035,0.6502493765586035,0.6502493765586035,0.6502493765586035
macro avg,0.6515887194561993,0.65175563975171,0.647730009093409,1604.0
weighted avg,0.6497796396172193,0.6502493765586035,0.6460391557672684,1604.0
