,precision,recall,f1-score,support
Gallstones,0.8148148148148148,0.9850746268656716,0.8918918918918919,67.0
Abdomen and Retroperitoneum,0.6455696202531646,0.7083333333333334,0.6754966887417219,72.0
Cholecystitis,0.45652173913043476,0.3,0.3620689655172414,70.0
Membranous and Gangrenous Cholecystitis,0.675,0.7941176470588235,0.7297297297297297,68.0
Perforation,0.7727272727272727,0.7846153846153846,0.7786259541984732,65.0
Polyps and Cholesterol Crystals,0.6944444444444444,0.78125,0.7352941176470589,64.0
Adenomyomatosis,0.5882352941176471,0.6153846153846154,0.6015037593984962,65.0
Carcinoma,0.6944444444444444,0.7352941176470589,0.7142857142857143,68.0
Various Causes of Gallbladder Wall Thickening,0.5925925925925926,0.6575342465753424,0.6233766233766234,73.0
Hepatitis A,0.391304347826087,0.4931506849315068,0.43636363636363634,73.0
Hepatitis B,0.7538461538461538,0.7538461538461538,0.7538461538461538,65.0
Hepatitis C,0.735632183908046,0.8205128205128205,0.7757575757575758,78.0
Alcoholic Liver Disease,0.5180722891566265,0.589041095890411,0.5512820512820513,73.0
Non-Alcoholic Fatty Liver Disease (NAFLD),0.6617647058823529,0.6521739130434783,0.656934306569343,69.0
Cirrhosis,0.6935483870967742,0.6615384615384615,0.6771653543307087,65.0
Liver Cancer,0.9166666666666666,0.676923076923077,0.7787610619469026,65.0
Autoimmune Hepatitis,0.4714285714285714,0.4583333333333333,0.4647887323943662,72.0
Primary Biliary Cholangitis,0.7721518987341772,0.8472222222222222,0.8079470198675497,72.0
Primary Sclerosing Cholangitis,0.7142857142857143,0.5633802816901409,0.6299212598425197,71.0
Hemochromatosis,0.4507042253521127,0.47761194029850745,0.463768115942029,67.0
Wilson Disease,0.3829787234042553,0.24,0.29508196721311475,75.0
Acute Liver Failure,1.0,0.9864864864864865,0.9931972789115646,74.0
Drug-Induced Liver Injury,0.6724137931034483,0.5342465753424658,0.5954198473282443,73.0
accuracy,0.6552369077306733,0.6552369077306733,0.6552369077306733,0.6552369077306733
macro avg,0.655180342748513,0.6572204790234476,0.6518481654949005,1604.0
weighted avg,0.6531590035051958,0.6552369077306733,0.6498143997997977,1604.0
