,precision,recall,f1-score,support
Gallstones,0.45901639344262296,0.417910447761194,0.4375,67.0
Abdomen and Retroperitoneum,0.23636363636363636,0.3611111111111111,0.2857142857142857,72.0
Cholecystitis,0.2967032967032967,0.38571428571428573,0.33540372670807456,70.0
Membranous and Gangrenous Cholecystitis,0.5405405405405406,0.5882352941176471,0.5633802816901409,68.0
Perforation,0.5797101449275363,0.6153846153846154,0.5970149253731343,65.0
Polyps and Cholesterol Crystals,0.3877551020408163,0.296875,0.336283185840708,64.0
Adenomyomatosis,0.36363636363636365,0.3076923076923077,0.3333333333333333,65.0
Carcinoma,0.5285714285714286,0.5441176470588235,0.5362318840579711,68.0
Various Causes of Gallbladder Wall Thickening,0.24691358024691357,0.273972602739726,0.2597402597402597,73.0
Hepatitis A,0.2571428571428571,0.2465753424657534,0.2517482517482518,73.0
Hepatitis B,0.45161290322580644,0.4307692307692308,0.4409448818897638,65.0
Hepatitis C,0.4810126582278481,0.48717948717948717,0.4840764331210191,78.0
Alcoholic Liver Disease,0.36585365853658536,0.410958904109589,0.3870967741935484,73.0
Non-Alcoholic Fatty Liver Disease (NAFLD),0.20512820512820512,0.2318840579710145,0.21768707482993196,69.0
Cirrhosis,0.5357142857142857,0.46153846153846156,0.49586776859504134,65.0
Liver Cancer,0.782608695652174,0.5538461538461539,0.6486486486486487,65.0
Autoimmune Hepatitis,0.35185185185185186,0.2638888888888889,0.30158730158730157,72.0
Primary Biliary Cholangitis,0.6818181818181818,0.625,0.6521739130434783,72.0
Primary Sclerosing Cholangitis,0.43333333333333335,0.36619718309859156,0.3969465648854962,71.0
Hemochromatosis,0.30434782608695654,0.31343283582089554,0.3088235294117647,67.0
Wilson Disease,0.16049382716049382,0.17333333333333334,0.16666666666666666,75.0
Acute Liver Failure,0.9864864864864865,0.9864864864864865,0.9864864864864865,74.0
Drug-Induced Liver Injury,0.6119402985074627,0.5616438356164384,0.5857142857142857,73.0
accuracy,0.4307980049875312,0.4307980049875312,0.4307980049875312,0.4307980049875312
macro avg,0.44558937197155146,0.4305977179436537,0.4351769766643301,1604.0
weighted avg,0.4444438713831076,0.4307980049875312,0.434764956704974,1604.0
