,precision,recall,f1-score,support
Gallstones,0.8205128205128205,0.9552238805970149,0.8827586206896552,67.0
Abdomen and Retroperitoneum,0.6753246753246753,0.7222222222222222,0.697986577181208,72.0
Cholecystitis,0.4594594594594595,0.4857142857142857,0.4722222222222222,70.0
Membranous and Gangrenous Cholecystitis,0.6708860759493671,0.7794117647058824,0.7210884353741497,68.0
Perforation,0.7796610169491526,0.7076923076923077,0.7419354838709677,65.0
Polyps and Cholesterol Crystals,0.6571428571428571,0.71875,0.6865671641791045,64.0
Adenomyomatosis,0.6376811594202898,0.676923076923077,0.6567164179104478,65.0
Carcinoma,0.7285714285714285,0.75,0.7391304347826086,68.0
Various Causes of Gallbladder Wall Thickening,0.5625,0.6164383561643836,0.5882352941176471,73.0
Hepatitis A,0.3670886075949367,0.3972602739726027,0.3815789473684211,73.0
Hepatitis B,0.75,0.7384615384615385,0.7441860465116279,65.0
Hepatitis C,0.7647058823529411,0.8333333333333334,0.7975460122699386,78.0
Alcoholic Liver Disease,0.5142857142857142,0.4931506849315068,0.5034965034965035,73.0
Non-Alcoholic Fatty Liver Disease (NAFLD),0.625,0.5797101449275363,0.6015037593984962,69.0
Cirrhosis,0.78,0.6,0.6782608695652174,65.0
Liver Cancer,0.819672131147541,0.7692307692307693,0.7936507936507936,65.0
Autoimmune Hepatitis,0.5131578947368421,0.5416666666666666,0.527027027027027,72.0
Primary Biliary Cholangitis,0.7972972972972973,0.8194444444444444,0.8082191780821918,72.0
Primary Sclerosing Cholangitis,0.703125,0.6338028169014085,0.6666666666666666,71.0
Hemochromatosis,0.4342105263157895,0.4925373134328358,0.46153846153846156,67.0
Wilson Disease,0.375,0.28,0.32061068702290074,75.0
Acute Liver Failure,1.0,0.9864864864864865,0.9931972789115646,74.0
Drug-Induced Liver Injury,0.6964285714285714,0.5342465753424658,0.6046511627906976,73.0
accuracy,0.6552369077306733,0.6552369077306733,0.6552369077306733,0.6552369077306733
macro avg,0.6579004834125949,0.6570307366152507,0.655164088896892,1604.0
weighted avg,0.6560735692255468,0.6552369077306733,0.6533599924803415,1604.0
